Summary,Issue Type,Description,Priority,Labels
TR-301 Assign training when an SOP changes,Story,"As a training coordinator, I want training assigned automatically when a new SOP version becomes effective.

Acceptance criteria:
* When an SOP version becomes effective, every user whose role requires that SOP receives a training assignment.
* The assignment is due 14 days after the effective date.
* Users who are on leave are handled appropriately.",Medium,PRD-3.0
TR-302 Record training completion,Story,"As a trainee, I want to record that I completed training, so my qualification is up to date.

Acceptance criteria:
* The trainee confirms completion with an e-signature, stating the SOP number and version.
* The trainer verifies the completion with an e-signature; the trainer cannot be the trainee.
* A read-and-understood assignment needs no trainer verification.",Medium,PRD-3.0
TR-303 Block untrained users,Story,"As QA, I want untrained users blocked from executing batch steps, so only qualified people perform GMP work.

Acceptance criteria:
* A user cannot sign a batch step unless they have a completed training record for the current version of the SOP linked to that step.
* The block message names the missing SOP and version.
* It must be possible to override this in an emergency.",Medium,PRD-3.0
TR-304 Training evidence per batch,Story,"As a QA reviewer, I want a training report per batch, so I can answer auditors in minutes.

Acceptance criteria:
* The report lists every person who signed a step, the SOPs linked to their steps, and the training completion date for each.
* The report should be fast.
* The report can be exported.",Medium,PRD-3.0
TR-305 Correct a training record,Story,"As a training coordinator, I want to correct a wrong completion date.

Acceptance criteria:
* The coordinator can change the completion date.
* The system keeps the old value.",Medium,PRD-3.0
[Spec gap] TR-301 (no negative behaviour): Assign training when an SOP changes,Task,"Rule: no_negative_behaviour
Why: No criterion says what happens when a rule is broken.
Question: What does the system do on invalid input or a wrong role (message, block, audit entry)?",Medium,PRD-3.0 requirement-gap
[Spec gap] TR-301 (vague term): Users who are on leave are handled appropriately.,Task,"Rule: vague_term
Why: 'appropriately' has no pass/fail criterion.
Question: What is appropriate, specifically?",Medium,PRD-3.0 requirement-gap
[Spec gap] TR-303 (ambiguous reference): It must be possible to override this in an emergency.,Task,"Rule: ambiguous_reference
Why: Starts with a pronoun; the tester can't tell what it refers to.
Question: Name the object explicitly.",Low,PRD-3.0 requirement-gap
[Spec gap] TR-304 (no negative behaviour): Training evidence per batch,Task,"Rule: no_negative_behaviour
Why: No criterion says what happens when a rule is broken.
Question: What does the system do on invalid input or a wrong role (message, block, audit entry)?",Medium,PRD-3.0 requirement-gap
[Spec gap] TR-304 (vague term): The report should be fast.,Task,"Rule: vague_term
Why: 'fast' has no pass/fail criterion.
Question: What response time, measured how?",Medium,PRD-3.0 requirement-gap
[Spec gap] TR-304 (weak modal): The report should be fast.,Task,"Rule: weak_modal
Why: 'should' makes it unclear whether this is mandatory.
Question: Is this mandatory ('must') or optional?",Low,PRD-3.0 requirement-gap
[Spec gap] TR-305 (no negative behaviour): Correct a training record,Task,"Rule: no_negative_behaviour
Why: No criterion says what happens when a rule is broken.
Question: What does the system do on invalid input or a wrong role (message, block, audit entry)?",Medium,PRD-3.0 requirement-gap
[Spec gap] TR-305 (gxp control missing): The coordinator can change the completion date.,Task,"Rule: gxp_control_missing
Why: A GMP-relevant action (override/delete/change/reject) without a required reason, e-signature or audit-trail entry (21 CFR 11.10(e), 11.50).
Question: Must this action require a reason, an e-signature and an audit-trail entry? Who may perform it?",High,PRD-3.0 requirement-gap
